last_name,first_name,up_2018,up_2020,up_2022,gender,type,state,district,party,person,race_ethnicity,white,black,latinx,asian,poc,lgbtq
Young,Don,,,,M,rep,AK,0,Republican,412522,white,1,0,0,0,0,0
Aderholt,Robert,,,,M,rep,AL,4,Republican,412477,white,1,0,0,0,0,0
Brooks,Mo,,,,M,rep,AL,5,Republican,412476,white,1,0,0,0,0,0
Byrne,Bradley,,,,M,rep,AL,1,Republican,412615,white,1,0,0,0,0,0
Palmer,Gary,,,,M,rep,AL,6,Republican,412619,white,1,0,0,0,0,0
Roby,Martha,,,,F,rep,AL,2,Republican,412396,white,1,0,0,0,0,0
Rogers,Mike,,,,M,rep,AL,3,Republican,400373,white,1,0,0,0,0,0
Sewell,Terri,,,,F,rep,AL,7,Democrat,400417,black,0,1,0,0,1,0
Crawford,Eric,,,,M,rep,AR,1,Republican,400170,white,1,0,0,0,0,0
Hill,French,,,,M,rep,AR,2,Republican,412621,white,1,0,0,0,0,0
Westerman,Bruce,,,,M,rep,AR,4,Republican,412622,white,1,0,0,0,0,0
Womack,Steve,,,,M,rep,AR,3,Republican,412517,white,1,0,0,0,0,0
Amata,Aumua,,,,F,rep,AS,0,Republican,412675,asian,0,0,0,1,1,0
Biggs,Andy,,,,M,rep,AZ,5,Republican,412684,white,1,0,0,0,0,0
Franks,Trent,,,,M,rep,AZ,8,Republican,400220,white,1,0,0,0,0,0
Gallego,Ruben,,,,M,rep,AZ,7,Democrat,412624,latinx,0,0,1,0,1,0
Gosar,Paul,,,,M,rep,AZ,4,Republican,400232,white,1,0,0,0,0,0
Grijalva,Raul,,,,M,rep,AZ,3,Democrat,400630,latinx,0,0,1,0,1,0
McSally,Martha,,,,F,rep,AZ,2,Republican,412623,white,1,0,0,0,0,0
O'Halleran,Tom,,,,M,rep,AZ,1,Democrat,412683,white,1,0,0,0,0,0
Schweikert,David,,,,M,rep,AZ,6,Republican,412319,white,1,0,0,0,0,0
Sinema,Kyrsten,,,,F,rep,AZ,9,Democrat,412533,white,1,0,0,0,0,1
Aguilar,Pete,,,,M,rep,CA,31,Democrat,412628,latinx,0,0,1,0,1,0
Barragan,Nanette,,,,F,rep,CA,44,Democrat,412688,latinx,0,0,1,0,1,0
Bass,Karen,,,,F,rep,CA,37,Democrat,412205,black,0,1,0,0,1,0
Bera,Ami,,,,M,rep,CA,7,Democrat,412538,asian,0,0,0,1,1,0
Brownley,Julia,,,,F,rep,CA,26,Democrat,412542,white,1,0,0,0,0,0
Calvert,Ken,,,,M,rep,CA,42,Republican,400142,white,1,0,0,0,0,0
Carbajal,Salud,,,,M,rep,CA,24,Democrat,412687,latinx,0,0,1,0,1,0
Cardenas,Tony,,,,M,rep,CA,29,Democrat,412543,latinx,0,0,1,0,1,0
Chu,Judy,,,,F,rep,CA,27,Democrat,412397,asian,0,0,0,1,1,0
Cook,Paul,,,,M,rep,CA,8,Republican,412539,white,1,0,0,0,0,0
Correa,J.,,,,M,rep,CA,46,Democrat,412689,latinx,0,0,1,0,1,0
Costa,Jim,,,,M,rep,CA,16,Democrat,412434,white,1,0,0,0,0,0
Davis,Susan,,,,F,rep,CA,53,Democrat,412200,white,1,0,0,0,0,0
Denham,Jeff,,,,M,rep,CA,10,Republican,412422,white,1,0,0,0,0,0
DeSaulnier,Mark,,,,M,rep,CA,11,Democrat,412625,white,1,0,0,0,0,0
Eshoo,Anna,,,,F,rep,CA,18,Democrat,412226,white,1,0,0,0,0,0
Garamendi,John,,,,M,rep,CA,3,Democrat,412191,latinx,0,0,1,0,1,0
Gomez,Jimmy,,,,M,rep,CA,34,Democrat,,latinx,0,0,1,0,1,0
Huffman,Jared,,,,M,rep,CA,2,Democrat,412537,white,1,0,0,0,0,0
Hunter,Duncan,,,,M,rep,CA,50,Republican,400663,white,1,0,0,0,0,0
Issa,Darrell,,,,M,rep,CA,49,Republican,300071,white,1,0,0,0,0,0
Khanna,Ro,,,,M,rep,CA,17,Democrat,412685,asian,0,0,0,1,1,0
Knight,Steve,,,,M,rep,CA,25,Republican,412627,white,1,0,0,0,0,0
LaMalfa,Doug,,,,M,rep,CA,1,Republican,412536,white,1,0,0,0,0,0
Lee,Barbara,,,,F,rep,CA,13,Democrat,400297,black,0,1,0,0,1,0
Lieu,Ted,,,,M,rep,CA,33,Democrat,412629,asian,0,0,0,1,1,0
Lofgren,Zoe,,,,F,rep,CA,19,Democrat,412303,white,1,0,0,0,0,0
Lowenthal,Alan,,,,M,rep,CA,47,Democrat,412546,white,1,0,0,0,0,0
Matsui,Doris,,,,F,rep,CA,6,Democrat,412309,asian,0,0,0,1,1,0
McCarthy,Kevin,,,,M,rep,CA,23,Republican,400326,white,1,0,0,0,0,0
McClintock,Tom,,,,M,rep,CA,4,Republican,412393,white,1,0,0,0,0,0
McNerney,Jerry,,,,M,rep,CA,9,Democrat,400340,white,1,0,0,0,0,0
Napolitano,Grace,,,,F,rep,CA,32,Democrat,412202,latinx,0,0,1,0,1,0
Nunes,Devin,,,,M,rep,CA,22,Republican,412491,white,1,0,0,0,0,0
Panetta,Jimmy,,,,M,rep,CA,20,Democrat,412686,white,1,0,0,0,0,0
Pelosi,Nancy,,,,F,rep,CA,12,Democrat,412261,white,1,0,0,0,0,0
Peters,Scott,,,,M,rep,CA,52,Democrat,412548,white,1,0,0,0,0,0
Rohrabacher,Dana,,,,M,rep,CA,48,Republican,409888,white,1,0,0,0,0,0
Roybal-Allard,Lucille,,,,F,rep,CA,40,Democrat,400380,latinx,0,0,1,0,1,0
Royce,Edward,,,,M,rep,CA,39,Republican,400381,white,1,0,0,0,0,0
Ruiz,Raul,,,,M,rep,CA,36,Democrat,412544,latinx,0,0,1,0,1,0
Sanchez,Linda,,,,F,rep,CA,38,Democrat,300100,latinx,0,0,1,0,1,0
Schiff,Adam,,,,M,rep,CA,28,Democrat,400406,white,1,0,0,0,0,0
Sherman,Brad,,,,M,rep,CA,30,Democrat,412213,white,1,0,0,0,0,0
Speier,Jackie,,,,F,rep,CA,14,Democrat,412402,white,1,0,0,0,0,0
Swalwell,Eric,,,,M,rep,CA,15,Democrat,412540,white,1,0,0,0,0,0
Takano,Mark,,,,M,rep,CA,41,Democrat,412545,asian,0,0,0,1,1,1
Thompson,Mike,,,,M,rep,CA,5,Democrat,412430,white,1,0,0,0,0,0
Torres,Norma,,,,F,rep,CA,35,Democrat,412630,latinx,0,0,1,0,1,0
Valadao,David,,,,M,rep,CA,21,Republican,412541,white,1,0,0,0,0,0
Vargas,Juan,,,,M,rep,CA,51,Democrat,408211,latinx,0,0,1,0,1,0
Walters,Mimi,,,,F,rep,CA,45,Republican,412631,white,1,0,0,0,0,0
Waters,Maxine,,,,F,rep,CA,43,Democrat,412511,black,0,1,0,0,1,0
Buck,Ken,,,,M,rep,CO,4,Republican,412632,white,1,0,0,0,0,0
Coffman,Mike,,,,M,rep,CO,6,Republican,400653,white,1,0,0,0,0,0
DeGette,Diana,,,,F,rep,CO,1,Democrat,400189,white,1,0,0,0,0,0
Lamborn,Doug,,,,M,rep,CO,5,Republican,300076,white,1,0,0,0,0,0
Perlmutter,Ed,,,,M,rep,CO,7,Democrat,400360,white,1,0,0,0,0,0
Polis,Jared,,,,M,rep,CO,2,Democrat,412399,white,1,0,0,0,0,1
Tipton,Scott,,,,M,rep,CO,3,Republican,412500,white,1,0,0,0,0,0
Courtney,Joe,,,,M,rep,CT,2,Democrat,412444,white,1,0,0,0,0,0
DeLauro,Rosa,,,,F,rep,CT,3,Democrat,412437,white,1,0,0,0,0,0
Esty,Elizabeth,,,,F,rep,CT,5,Democrat,412549,white,1,0,0,0,0,0
Himes,James,,,,M,rep,CT,4,Democrat,400251,white,1,0,0,0,0,0
Larson,John,,,,M,rep,CT,1,Democrat,412475,white,1,0,0,0,0,0
Norton,Eleanor,,,,F,rep,DC,0,Democrat,400348,black,0,1,0,0,1,0
Blunt Rochester,Lisa,,,,F,rep,DE,0,Democrat,412690,black,0,1,0,0,1,0
Bilirakis,Gus,,,,M,rep,FL,12,Republican,400114,white,1,0,0,0,0,0
Buchanan,Vern,,,,M,rep,FL,16,Republican,412480,white,1,0,0,0,0,0
Castor,Kathy,,,,F,rep,FL,14,Democrat,412463,white,1,0,0,0,0,0
Crist,Charlie,,,,M,rep,FL,13,Democrat,412698,white,1,0,0,0,0,0
Curbelo,Carlos,,,,M,rep,FL,26,Republican,412633,latinx,0,0,1,0,1,0
Demings,Val,,,,F,rep,FL,10,Democrat,412697,black,0,1,0,0,1,0
DeSantis,Ron,,,,M,rep,FL,6,Republican,412551,white,1,0,0,0,0,0
Deutch,Theodore,,,,M,rep,FL,22,Democrat,400196,white,1,0,0,0,0,0
Diaz-Balart,Mario,,,,M,rep,FL,25,Republican,400199,latinx,0,0,1,0,1,0
Dunn,Neal,,,,M,rep,FL,2,Republican,412692,white,1,0,0,0,0,0
Frankel,Lois,,,,F,rep,FL,21,Democrat,412552,white,1,0,0,0,0,0
Gaetz,Matt,,,,M,rep,FL,1,Republican,412691,white,1,0,0,0,0,0
Hastings,Alcee,,,,M,rep,FL,20,Democrat,400247,black,0,1,0,0,1,0
Lawson,Al,,,,M,rep,FL,5,Democrat,412694,black,0,1,0,0,1,0
Mast,Brian,,,,M,rep,FL,18,Republican,412699,latinx,0,0,1,0,1,0
Murphy,Stephanie,,,,F,rep,FL,7,Democrat,412695,asian,0,0,0,1,1,0
