last_name,last_name_real,first_name,up_2018,up_2020,up_2022,gender,type,state,district,party,person,race_ethnicity,white,black,latinx,asian,poc,lgbtq
Murkowski,Murkowski,Lisa,0,0,1,F,sen,AK,1,Republican,400616,white,1,0,0,0,0,0
Sullivan,Sullivan,Dan,0,1,0,M,sen,AK,2,Republican,400087,white,1,0,0,0,0,0
Shelby,Shelby,Richard,0,0,1,M,sen,AL,1,Republican,412270,white,1,0,0,0,0,0
Strange,Strange,Luther,0,1,0,M,sen,AL,2,Republican,400648,white,1,0,0,0,0,0
Boozman,Boozman,John,0,0,1,M,sen,AR,1,Republican,400018,white,1,0,0,0,0,0
Cotton,Cotton,Tom,0,1,0,M,sen,AR,2,Republican,412236,white,1,0,0,0,0,0
Flake,Flake,Jeff,1,0,0,M,sen,AZ,2,Republican,412478,white,1,0,0,0,0,0
McCain,McCain,John,0,0,1,M,sen,AZ,1,Republican,400052,white,1,0,0,0,0,0
Feinstein,Feinstein,Dianne,1,0,0,F,sen,CA,1,Democrat,300043,white,1,0,0,0,0,0
Harris,Harris,Kamala,0,0,1,F,sen,CA,2,Democrat,400100,"black, asian",0,1,0,1,1,0
Bennet,Bennet,Michael,0,0,1,M,sen,CO,1,Democrat,412438,white,1,0,0,0,0,0
Gardner,Gardner,Cory,0,1,0,M,sen,CO,2,Republican,400032,white,1,0,0,0,0,0
Blumenthal,Blumenthal,Richard,0,0,1,M,sen,CT,1,Democrat,400013,white,1,0,0,0,0,0
Murphy,Murphy,Christopher,1,0,0,M,sen,CT,2,Democrat,400057,white,1,0,0,0,0,0
Carper,Carper,Thomas,1,0,0,M,sen,DE,1,Democrat,300019,white,1,0,0,0,0,0
Coons,Coons,Chris,0,1,0,M,sen,DE,2,Democrat,412390,white,1,0,0,0,0,0
Nelson,Nelson,Bill,1,0,0,M,sen,FL,1,Democrat,300078,white,1,0,0,0,0,0
Rubio,Rubio,Marco,0,0,1,M,sen,FL,2,Republican,412269,latinx,0,0,1,0,1,0
Isakson,Isakson,John,0,0,1,M,sen,GA,1,Republican,400041,white,1,0,0,0,0,0
